province,province_th,district,district_th,subdistrict,subdistrict_th
Bangkok,กรุงเทพฯ,Bang Bon,บางบอน,Bang Bon,บางบอน
Bangkok,กรุงเทพฯ,Bang Kapi,บางกะปิ,Hua Mak,หัวหมาก
Bangkok,กรุงเทพฯ,Bang Kapi,บางกะปิ,Khlong Chan,คลองจั่น
Bangkok,กรุงเทพฯ,Bang Khae,บางแค,Bang Khae,บางแค
Bangkok,กรุงเทพฯ,Bang Khae,บางแค,Bang Khae Nuea,บางแคเหนือ
Bangkok,กรุงเทพฯ,Bang Khae,บางแค,Bang Phai,บางไผ่
Bangkok,กรุงเทพฯ,Bang Khae,บางแค,Lak Song,หลักสอง
Bangkok,กรุงเทพฯ,Bang Khen,บางเขน,Anusawari,อนุสาวรีย์
Bangkok,กรุงเทพฯ,Bang Khen,บางเขน,Tha Raeng,ท่าแร้ง
Bangkok,กรุงเทพฯ,Bang Kho Laem,บางคอแหลม,Bang Khlo,บางโคล่
Bangkok,กรุงเทพฯ,Bang Kho Laem,บางคอแหลม,Bang Kho Laem,บางคอแหลม
Bangkok,กรุงเทพฯ,Bang Kho Laem,บางคอแหลม,Wat Phraya Krai,วัดพระยาไกร
Bangkok,กรุงเทพฯ,Bang Khun Thian,บางขุนเทียน,Samae Dam,แสมดำ
Bangkok,กรุงเทพฯ,Bang Khun Thian,บางขุนเทียน,Tha Kham,ท่าข้าม
Bangkok,กรุงเทพฯ,Bang Na,บางนา,Bang Na,บางนา
Bangkok,กรุงเทพฯ,Bang Phlat,บางพลัด,Bang Bamru,บางบำหรุ
Bangkok,กรุงเทพฯ,Bang Phlat,บางพลัด,Bang O,บางอ้อ
Bangkok,กรุงเทพฯ,Bang Phlat,บางพลัด,Bang Phlat,บางพลัด
Bangkok,กรุงเทพฯ,Bang Phlat,บางพลัด,Bang Yi Khan,บางยี่ขัน
Bangkok,กรุงเทพฯ,Bang Rak,บางรัก,Bang Rak,บางรัก
Bangkok,กรุงเทพฯ,Bang Rak,บางรัก,Maha Phruettharam,มหาพฤฒาราม
Bangkok,กรุงเทพฯ,Bang Rak,บางรัก,Silom,สีลม
Bangkok,กรุงเทพฯ,Bang Rak,บางรัก,Si Phraya,สี่พระยา
Bangkok,กรุงเทพฯ,Bang Rak,บางรัก,Suriyawong,สุริยวงศ์
Bangkok,กรุงเทพฯ,Bang Sue,บางซื่อ,Bang Sue,บางซื่อ
Bangkok,กรุงเทพฯ,Bang Sue,บางซื่อ,Wong Sawang,วงศ์สว่าง
Bangkok,กรุงเทพฯ,Bangkok Noi,บางกอกน้อย,Arun Amarin,อรุณอมรินทร์
Bangkok,กรุงเทพฯ,Bangkok Noi,บางกอกน้อย,Ban Chang Lo,บ้านช่างหล่อ
Bangkok,กรุงเทพฯ,Bangkok Noi,บางกอกน้อย,Bang Khun Non,บางขุนนนท์
Bangkok,กรุงเทพฯ,Bangkok Noi,บางกอกน้อย,Bang Khun Si,บางขุนศรี
Bangkok,กรุงเทพฯ,Bangkok Noi,บางกอกน้อย,Sirirat,ศิริราช
Bangkok,กรุงเทพฯ,Bangkok Yai,บางกอกใหญ่,Wat Arun,วัดอรุณ
Bangkok,กรุงเทพฯ,Bangkok Yai,บางกอกใหญ่,Wat Tha Phra,วัดท่าพระ
Bangkok,กรุงเทพฯ,Bueng Kum,บึงกุ่ม,Khlong Kum,คลองกุ่ม
Bangkok,กรุงเทพฯ,Bueng Kum,บึงกุ่ม,Nawamin,นวมินทร์
Bangkok,กรุงเทพฯ,Bueng Kum,บึงกุ่ม,Nuan Chan,นวลจันทร์
Bangkok,กรุงเทพฯ,Chatuchak,จตุจักร,Chan Kasem,จันทรเกษม
Bangkok,กรุงเทพฯ,Chatuchak,จตุจักร,Chatuchak,จตุจักร
Bangkok,กรุงเทพฯ,Chatuchak,จตุจักร,Chom Phon,จอมพล
Bangkok,กรุงเทพฯ,Chatuchak,จตุจักร,Lat Yao,ลาดยาว
Bangkok,กรุงเทพฯ,Chatuchak,จตุจักร,Sena Nikhom,เสนานิคม
Bangkok,กรุงเทพฯ,Chom Thong,จอมทอง,Bang Kho,บางค้อ
Bangkok,กรุงเทพฯ,Chom Thong,จอมทอง,Bang Khun Thian,บางขุนเทียน
Bangkok,กรุงเทพฯ,Chom Thong,จอมทอง,Bang Mot,บางมด
Bangkok,กรุงเทพฯ,Chom Thong,จอมทอง,Chom Thong,จอมทอง
Bangkok,กรุงเทพฯ,Din Daeng,ดินแดง,Din Daeng,ดินแดง
Bangkok,กรุงเทพฯ,Don Mueang,ดอนเมือง,Don Mueang,ดอนเมือง
Bangkok,กรุงเทพฯ,Don Mueang,ดอนเมือง,Sanam Bin,สนามบิน
Bangkok,กรุงเทพฯ,Don Mueang,ดอนเมือง,Si Kan,สีกัน
Bangkok,กรุงเทพฯ,Dusit,ดุสิต,Dusit,ดุสิต
Bangkok,กรุงเทพฯ,Dusit,ดุสิต,Si Yaek Mahanak,สี่แยกมหานาค
Bangkok,กรุงเทพฯ,Dusit,ดุสิต,Suan Chitlada,สวนจิตรลดา
Bangkok,กรุงเทพฯ,Dusit,ดุสิต,Thanon Nakhon Chai Si,ถนนนครไชยศรี
Bangkok,กรุงเทพฯ,Dusit,ดุสิต,Wachira Phayaban,วชิรพยาบาล
Bangkok,กรุงเทพฯ,Huai Khwang,ห้วยขวาง,Bang Kapi,บางกะปิ
Bangkok,กรุงเทพฯ,Huai Khwang,ห้วยขวาง,Huai Khwang,ห้วยขวาง
Bangkok,กรุงเทพฯ,Huai Khwang,ห้วยขวาง,Sam Sen Nok,สามเสนนอก
Bangkok,กรุงเทพฯ,Khan Na Yao,คันนายาว,Khan Na Yao,คันนายาว
Bangkok,กรุงเทพฯ,Khan Na Yao,คันนายาว,Ram Inthra,รามอินทรา
Bangkok,กรุงเทพฯ,Khlong Sam Wa,คลองสามวา,Bang Chan,บางชัน
